dep,semaine_glissante,pop,P,T,tx_pos
01,2020-08-20-2020-08-26,656955,250,6479,3.86
01,2020-08-21-2020-08-27,656955,305,6829,4.47
01,2020-08-22-2020-08-28,656955,316,7140,4.43
01,2020-08-23-2020-08-29,656955,323,7369,4.38
01,2020-08-24-2020-08-30,656955,323,7371,4.38
01,2020-08-25-2020-08-31,656955,368,7747,4.75
01,2020-08-26-2020-09-01,656955,403,8001,5.04
01,2020-08-27-2020-09-02,656955,415,8281,5.01
01,2020-08-28-2020-09-03,656955,429,8407,5.1
01,2020-08-29-2020-09-04,656955,446,8642,5.16
01,2020-08-30-2020-09-05,656955,462,8742,5.28
01,2020-08-31-2020-09-06,656955,463,8827,5.25
01,2020-09-01-2020-09-07,656955,454,9068,5.01
01,2020-09-02-2020-09-08,656955,473,9541,4.96
01,2020-09-03-2020-09-09,656955,472,9823,4.81
01,2020-09-04-2020-09-10,656955,473,10431,4.53
01,2020-09-05-2020-09-11,656955,495,10834,4.57
01,2020-09-06-2020-09-12,656955,498,10858,4.59
01,2020-09-07-2020-09-13,656955,500,10805,4.63
01,2020-09-08-2020-09-14,656955,528,11429,4.62
01,2020-09-09-2020-09-15,656955,590,11761,5.02
01,2020-09-10-2020-09-16,656955,676,12137,5.57
01,2020-09-11-2020-09-17,656955,672,11989,5.61
01,2020-09-12-2020-09-18,656955,675,11660,5.79
01,2020-09-13-2020-09-19,656955,661,11432,5.78
01,2020-09-14-2020-09-20,656955,660,11405,5.79
01,2020-09-15-2020-09-21,656955,671,10758,6.24
01,2020-09-16-2020-09-22,656955,621,10231,6.07
01,2020-09-17-2020-09-23,656955,569,9618,5.92
01,2020-09-18-2020-09-24,656955,555,9187,6.04
01,2020-09-19-2020-09-25,656955,534,9054,5.9
01,2020-09-20-2020-09-26,656955,530,9055,5.85
01,2020-09-21-2020-09-27,656955,527,9023,5.84
01,2020-09-22-2020-09-28,656955,494,8670,5.7
01,2020-09-23-2020-09-29,656955,496,8235,6.02
01,2020-09-24-2020-09-30,656955,490,8046,6.09
01,2020-09-25-2020-10-01,656955,511,7900,6.47
01,2020-09-26-2020-10-02,656955,557,7926,7.03
01,2020-09-27-2020-10-03,656955,593,8033,7.38
01,2020-09-28-2020-10-04,656955,601,8024,7.49
01,2020-09-29-2020-10-05,656955,713,8364,8.52
01,2020-09-30-2020-10-06,656955,798,8669,9.21
01,2020-10-01-2020-10-07,656955,931,9044,10.29
01,2020-10-02-2020-10-08,656955,1085,9510,11.41
01,2020-10-03-2020-10-09,656955,1248,10105,12.35
01,2020-10-04-2020-10-10,656955,1290,10366,12.44
01,2020-10-05-2020-10-11,656955,1293,10405,12.43
01,2020-10-06-2020-10-12,656955,1561,11430,13.66
01,2020-10-07-2020-10-13,656955,1736,12562,13.82
01,2020-10-08-2020-10-14,656955,1909,13684,13.95
01,2020-10-09-2020-10-15,656955,2189,14949,14.64
01,2020-10-10-2020-10-16,656955,2428,15988,15.19
01,2020-10-11-2020-10-17,656955,2529,16308,15.51
01,2020-10-12-2020-10-18,656955,2543,16343,15.56
01,2020-10-13-2020-10-19,656955,2817,16887,16.68
01,2020-10-14-2020-10-20,656955,3246,17628,18.41
01,2020-10-15-2020-10-21,656955,3640,18222,19.98
01,2020-10-16-2020-10-22,656955,3997,19261,20.75
01,2020-10-17-2020-10-23,656955,4478,20251,22.11
01,2020-10-18-2020-10-24,656955,4637,20461,22.66
01,2020-10-19-2020-10-25,656955,4684,20601,22.74
01,2020-10-20-2020-10-26,656955,5121,21583,23.73
01,2020-10-21-2020-10-27,656955,5506,22265,24.73
01,2020-10-22-2020-10-28,656955,5842,23173,25.21
01,2020-10-23-2020-10-29,656955,6085,23976,25.38
01,2020-10-24-2020-10-30,656955,6131,24269,25.26
01,2020-10-25-2020-10-31,656955,6169,24402,25.28
01,2020-10-26-2020-11-01,656955,6174,24391,25.31
01,2020-10-27-2020-11-02,656955,6318,24980,25.29
01,2020-10-28-2020-11-03,656955,6388,25470,25.08
01,2020-10-29-2020-11-04,656955,6197,25423,24.38
01,2020-10-30-2020-11-05,656955,6020,25024,24.06
01,2020-10-31-2020-11-06,656955,5778,24799,23.3
01,2020-11-01-2020-11-07,656955,5647,24580,22.97
01,2020-11-02-2020-11-08,656955,5611,24499,22.9
01,2020-11-03-2020-11-09,656955,5148,23432,21.97
01,2020-11-04-2020-11-10,656955,4563,22303,20.46
01,2020-11-05-2020-11-11,656955,3672,18440,19.91
01,2020-11-06-2020-11-12,656955,3316,17901,18.52
01,2020-11-07-2020-11-13,656955,3016,17372,17.36
01,2020-11-08-2020-11-14,656955,2915,17051,17.1
01,2020-11-09-2020-11-15,656955,2904,17058,17.02
01,2020-11-10-2020-11-16,656955,2610,15920,16.39
01,2020-11-11-2020-11-17,656955,2297,14633,15.7
01,2020-11-12-2020-11-18,656955,2541,16837,15.09
01,2020-11-13-2020-11-19,656955,2224,15439,14.41
01,2020-11-14-2020-11-20,656955,1970,14142,13.93
01,2020-11-15-2020-11-21,656955,1880,14040,13.39
01,2020-11-16-2020-11-22,656955,1866,13972,13.36
01,2020-11-17-2020-11-23,656955,1617,13081,12.36
01,2020-11-18-2020-11-24,656955,1452,12355,11.75
01,2020-11-19-2020-11-25,656955,1335,11441,11.67
01,2020-11-20-2020-11-26,656955,1294,10961,11.81
01,2020-11-21-2020-11-27,656955,1223,10483,11.67
01,2020-11-22-2020-11-28,656955,1240,10503,11.81
01,2020-11-23-2020-11-29,656955,1236,10481,11.79
01,2020-11-24-2020-11-30,656955,1136,9911,11.46
01,2020-11-25-2020-12-01,656955,1091,9743,11.2
01,2020-11-26-2020-12-02,656955,1101,9439,11.66
01,2020-11-27-2020-12-03,656955,1003,9328,10.75
01,2020-11-28-2020-12-04,656955,974,9182,10.61
01,2020-11-29-2020-12-05,656955,953,9091,10.48
01,2020-11-30-2020-12-06,656955,953,9094,10.48
01,2020-12-01-2020-12-07,656955,985,9221,10.68
01,2020-12-02-2020-12-08,656955,1029,9454,10.88
01,2020-12-03-2020-12-09,656955,1006,9791,10.27
01,2020-12-04-2020-12-10,656955,1026,9999,10.26
01,2020-12-05-2020-12-11,656955,1031,10494,9.82
01,2020-12-06-2020-12-12,656955,1043,10773,9.68
01,2020-12-07-2020-12-13,656955,1045,10905,9.58
01,2020-12-08-2020-12-14,656955,1039,11607,8.95
01,2020-12-09-2020-12-15,656955,1060,13332,7.95
01,2020-12-10-2020-12-16,656955,1064,14620,7.28
01,2020-12-11-2020-12-17,656955,1102,17229,6.4
01,2020-12-12-2020-12-18,656955,1202,23050,5.21
01,2020-12-13-2020-12-19,656955,1307,28819,4.54
01,2020-12-14-2020-12-20,656955,1412,33092,4.27
01,2020-12-15-2020-12-21,656955,1397,36447,3.83
01,2020-12-16-2020-12-22,656955,1446,39964,3.62
01,2020-12-17-2020-12-23,656955,1461,44604,3.28
01,2020-12-18-2020-12-24,656955,1387,44747,3.1
01,2020-12-19-2020-12-25,656955,1132,37215,3.04
01,2020-12-20-2020-12-26,656955,1045,32227,3.24
01,2020-12-21-2020-12-27,656955,948,27969,3.39
01,2020-12-22-2020-12-28,656955,972,24828,3.91
01,2020-12-23-2020-12-29,656955,934,20372,4.58
01,2020-12-24-2020-12-30,656955,978,15734,6.22
01,2020-12-25-2020-12-31,656955,1028,14006,7.34
01,2020-12-26-2021-01-01,656955,1021,13941,7.32
01,2020-12-27-2021-01-02,656955,1034,13819,7.48
01,2020-12-28-2021-01-03,656955,1042,13806,7.55
