date,vac_statut,nb_pcr,nb_pcr_sympt,nb_pcr0,nb_pcr_sympt0,hc,hc_pcr,sc,sc_pcr,dc,dc_pcr,pourcent_parmi_vaccines
2021-08-10,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-11,Primo dose efficace,40969.04,2356.78,1417.52,558.27,25.25,18.99,9.34,8.17,3.01,2.45,12.77
2021-08-12,Complet de moins de 3 mois - sans rappel,62933.32,6671.77,3701.51,1571.71,83.46,55.86,19.48,15.45,3.85,3.51,58.59
2021-08-12,Complet de 6 mois ou plus - sans rappel,2619.09,205.88,137.56,42.16,4.07,3.83,1.16,1.1,3.02,2.02,0.99
2021-08-13,Non-vaccinés,145101.73,11734.18,13446.04,5648.24,514.22,353.63,112.44,88.52,55.48,33.58,
2021-08-13,Complet de moins de 3 mois - sans rappel,72511.72,6240.19,3869.35,1549.5,83.79,59.88,20.5,16.64,10.66,7.33,58.7
2021-08-13,Complet - avec 1 rappel de moins de 3 mois,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,Complet entre 3 mois et 6 mois - sans rappel,5179.33,506.18,205.08,81.99,67.63,48.48,6.92,3.9,15.09,11.55,18.92
2021-08-15,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-16,Complet de moins de 3 mois - sans rappel,75534.64,8586.8,5334.3,2375.95,89.7,60.33,23.61,18.58,9.52,8.25,58.73
2021-08-17,Primo dose efficace,42739.26,2632.44,1434.45,599.29,37.11,28.31,10.21,7.38,9.52,5.01,13.7
2021-08-19,Primo dose récente,24338.92,1213.68,1091.11,523.97,27.46,23.35,4.94,2.96,0.04,0.02,6.09
2021-08-20,Non-vaccinés,120944.64,10578.29,11503.82,4824.14,449.42,292.37,131.73,94.33,63.6,36.29,
2021-08-20,Complet - avec 1 rappel de moins de 3 mois,0.09,0.0,0.0,0.0,0.22,0.2,0.0,0.0,0.0,0.0,0.0
2021-08-22,Primo dose récente,2519.12,148.35,136.5,52.58,21.44,17.1,8.73,7.35,1.0,1.0,5.14
2021-08-23,Complet de 6 mois ou plus - sans rappel,7436.44,572.66,394.49,152.86,13.79,10.13,5.1,4.02,0.97,0.16,2.4
2021-08-24,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-30,Complet entre 3 mois et 6 mois - sans rappel,37522.2,3220.16,1428.74,604.71,70.45,56.1,10.37,7.35,15.13,12.94,21.3
2021-09-04,Primo dose efficace,18261.09,756.57,358.73,127.16,20.06,13.48,3.7,2.36,7.14,3.63,9.94
2021-09-07,Complet entre 3 mois et 6 mois - sans rappel,32689.92,3034.15,985.82,414.95,70.06,52.82,9.32,7.15,16.08,11.49,24.35
2021-09-08,Non-vaccinés,60058.98,7438.24,5099.34,2113.97,268.61,188.68,85.04,65.21,38.63,26.3,
2021-09-09,Complet entre 3 mois et 6 mois - sans rappel,24775.67,2898.84,818.18,330.83,53.23,44.24,21.28,17.29,14.56,13.15,25.34
2021-09-10,Complet entre 3 mois et 6 mois - sans rappel,31564.64,2685.36,800.96,307.99,47.09,35.19,10.14,8.08,13.18,10.5,25.84
2021-09-12,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,Complet de 6 mois ou plus - sans rappel,10419.55,684.54,303.44,91.11,6.74,3.85,2.26,1.04,5.49,4.28,4.24
2021-09-15,Primo dose récente,5404.57,366.84,131.01,60.15,8.75,6.03,0.49,0.19,0.0,0.0,1.96
2021-09-15,Complet - avec 2 rappels de moins de 3 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,Complet - avec 1 rappel de moins de 3 mois,850.75,33.9,4.06,0.32,0.09,0.0,0.0,0.0,1.17,0.11,0.52
2021-09-19,Complet entre 3 mois et 6 mois - sans rappel,7914.11,644.67,124.24,41.75,37.35,28.02,11.93,9.49,10.57,8.73,31.15
2021-09-20,Primo dose récente,5830.95,384.84,145.18,63.17,6.64,4.74,1.19,1.17,0.03,0.0,1.58
2021-09-22,Complet - avec 1 rappel entre 3 mois et 6 mois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-25,Complet - avec 1 rappel de moins de 3 mois,1179.93,41.6,7.45,0.0,0.09,0.0,0.0,0.0,0.07,0.07,1.19
2021-10-01,Primo dose récente,3377.62,157.91,36.52,12.72,4.87,3.08,1.04,1.04,0.0,0.0,0.94
2021-10-03,Complet de moins de 3 mois - sans rappel,8658.41,727.72,129.55,48.27,16.43,11.89,4.38,2.67,1.32,1.25,46.69
2021-10-06,Complet - avec 1 rappel de moins de 3 mois,2625.17,147.06,16.47,4.87,1.11,1.0,0.0,0.0,0.0,0.0,2.05
2021-10-07,Primo dose récente,2084.77,112.23,30.91,11.98,1.05,0.77,1.3,0.14,0.01,0.0,0.84
2021-10-07,Complet - avec 1 rappel de moins de 3 mois,2028.88,167.04,24.65,4.76,1.47,0.41,0.23,0.18,0.01,0.0,2.16
2021-10-12,Non-vaccinés,49746.23,5806.39,1922.19,785.7,90.78,68.18,25.78,21.32,18.62,11.27,
2021-10-13,Non-vaccinés,44001.31,5099.43,1797.34,710.42,86.5,58.59,20.72,14.51,20.7,15.58,
