k,inertia,silhouette,calinski_h,davies_b
2,694.8622453762171,0.24059878857411973,26.706998662532612,1.604052259397426
3,604.9588043045867,0.1500423124943335,22.085208700134753,1.893387497669057
4,548.5901257001613,0.13973078501376082,19.212811304137,1.7310077923176097
5,498.43608110994086,0.16427959519928514,17.976326764871363,1.5413359976322178
6,454.5235684769036,0.14975498067582865,17.336164716386484,1.5456411843713072
7,423.18262653962427,0.13816650887429724,16.442885257530413,1.6155494695689723
8,402.4828526530621,0.1476967680219015,15.298802081920616,1.5491175161590118
9,385.5415979212165,0.13672497579350434,14.293731971443222,1.4567579672766306
10,366.5543744190237,0.13656245875120973,13.705040980966977,1.4514793662937806
