dep,mean_error,mae,std_error,n
01,-2.034096509824005,2.167038960187057,2.508203390951938,119
02,-0.3094256616999841,0.6126763533319244,0.679774361329331,119
03,-1.0978253357045602,3.3826728208286667,4.584786245759016,119
04,0.7758135706911929,3.0106403656387366,4.117282424853943,119
05,-0.5986316821817554,1.8123232860970269,2.5333761891240636,120
06,0.028007027678189817,0.8525350923355742,1.1330170124837207,119
07,-0.5399645590436873,2.092368459752861,2.777104794392776,119
08,-1.1253191764411727,1.6252401370236473,2.0606011778970443,119
09,0.06612588683578906,0.8090986571422731,1.2912385071045251,119
10,-0.5562900977259689,0.7934112394620939,0.9078338285046539,119
11,-0.27708065769934725,1.715528693202155,2.311845529139096,119
12,-1.517676061527084,1.8514594460506502,1.8631989099758017,119
13,0.10748955149430969,0.4352779002309699,0.5369054896561666,119
14,-0.19091669918336152,0.618570420358165,0.7899229561308884,119
15,0.12590226268638813,0.8400792922642157,1.2676106145198363,119
16,0.06780623026619527,0.9819081228188459,1.292846352719589,119
17,-0.33806585412349305,1.3182467916912064,1.7271610733509462,119
18,-0.7555869905153165,1.8561557111196818,2.6997805400406225,119
19,0.029987595275223974,1.614392058230793,2.4538628729978718,119
21,-0.0008330939528126574,0.5073988096101559,0.6898265182355466,119
22,-0.48902508550186746,1.4254240636911686,1.7593287147456071,120
23,-0.10782226144613187,0.6183884880738328,0.8319969519596948,119
24,-0.5289380596324802,1.5510818533740416,2.0016896101528845,119
25,-0.12013503273589414,0.3574421318410548,0.4294154018762043,119
26,-0.7056576279580834,0.8942722426416025,1.232335894257378,119
27,-1.052223495334456,1.92391622942014,2.717589474285266,119
28,-0.1907005549561343,0.7629088559436358,0.9641227877672355,119
29,-0.03006559482611157,0.7226807350274073,0.8983143129827788,119
2A,0.06284130669522625,2.579162258404948,3.506051395065708,119
2B,0.1830199291281414,0.3791117921045298,0.4524574858081803,119
30,-0.11608411287969714,0.512919051462571,0.6410532804972229,119
31,-0.04585769847370176,0.47086844696386954,0.5787627159466592,120
32,-0.5326632582350033,3.0745463025725703,4.7026821811062405,119
33,0.03227631867323956,0.36553634779903377,0.4818743141773592,120
34,-0.18680274336967317,0.4089639576596935,0.46882497527114964,120
35,-0.06276914060303855,0.5007808409402793,0.5994395556725276,119
36,-0.19270073155370712,1.331520698496464,1.700448377473309,119
37,-0.10999252642191791,0.5308047334088317,0.7042584482343953,120
38,-0.2849725885665482,0.5623177989194027,0.6112696085518767,119
39,-1.3352169758527328,2.5363735982228257,3.9879913779025467,119
40,0.4204968377886392,1.1654357222673921,1.4806024911533877,119
41,-0.027051976647640075,1.130877556315297,1.4412791395494096,120
42,-0.17284309279669202,0.46413416949057734,0.5666921774128625,119
43,0.3318663663515076,1.2205957994376866,1.602506872935392,119
44,-0.10193565227112139,0.38707164433900176,0.4599359383303089,119
45,0.4186315238634172,0.5725874277749803,0.5389803496983574,120
46,-1.2975928001191852,1.753884877445125,2.144095190724776,119
47,0.014285265979910755,0.8769347766768221,1.344777227329693,120
48,-0.2790963365671338,2.882546937900742,5.052255836973585,120
49,-0.2512905059783194,0.5344090945535391,0.6917538860767733,119
50,-0.5536801114544978,3.8289047266683385,4.898336397558779,120
51,-0.22759020519618461,0.9043757984775933,1.4186088426603738,119
52,-0.45573325956349914,1.4450754143415891,2.074644878312227,119
53,-0.21623914184830567,0.8479664856747633,1.0847708136595295,119
54,-0.10513484816532276,0.3935488144469703,0.499209013965597,119
55,0.5981933203647488,0.7253165524548124,0.7110718960779384,119
56,-0.17400260733719514,0.6109180808893735,0.7303686949756982,119
57,-0.21822354781158085,0.561653602345487,0.673482272336355,119
58,-0.5001065374905178,2.2721255066665496,3.112945099959574,119
59,-0.003279226013751894,0.40743566377668744,0.5357632334535047,120
60,-0.8087132613914608,1.386521333273127,1.5183718768737766,119
61,0.3011407599434128,0.8378927649681406,1.0656219575874841,119
62,-0.12308592283286611,0.3524781791626855,0.43019747645104756,120
63,-0.17169273360063048,0.5806998498985229,0.7168149893962589,119
64,0.008814885266603241,0.513187821846853,0.6779533316091342,119
65,0.2672582454233956,0.6296610343237432,0.7655776047975082,119
66,-0.09079904493343582,0.882886040259868,1.054335793687191,119
67,-0.19639183516403508,0.4495892264262726,0.550632983632509,119
68,0.005090181898397851,0.5497809472509122,0.6933553838382945,119
69,-0.037374292544109414,0.49113057774397095,0.6246170437622469,119
70,-0.5998732386181983,1.3530710983777336,1.761546393070853,119
71,-1.0959972148188646,1.71972572539804,1.8737167632960112,120
72,-0.7943208902702901,2.305383653863732,3.5180771647732243,119
73,-0.8206130498333455,1.4251797233669996,1.844008418724129,119
74,-0.6966836970517966,1.2414046633614522,1.5646590813723145,119
75,0.2842079812455619,0.49014142244855313,0.5604240739701707,119
76,-0.0934007145621419,0.6884321176213523,0.8919292059081237,119
77,-0.2183771490046258,0.39960549668694395,0.46997692562272897,120
78,0.06523065095100952,0.5766043621011647,0.7290194349378901,119
